path,Load,BoS,A,EaryTW,LateTW,SOC,CHG_time,type,phyID
51,0,25.711346450428273,0.0,0.0,105.0,103.5,0.0,Depot,1
7,1,28.519454309505285,28.019454309505285,27.278423865951027,42.27842386595103,102.70370278861843,0.0,Pickup,7
17,0,41.79599335312526,41.79599335312526,41.054962909571,62.69323243138099,98.12329681856954,0.0,Droppoff,7
6,1,44.41249670588302,43.91249670588302,35.468570803498054,50.468570803498054,97.39310316186811,0.0,Pickup,6
44,0,48.0,48.0,48.0,105.0,96.15541452539776,0.0,TransitStation,6
53,0,56.48528137423857,56.48528137423857,0.0,105.0,93.22799245128546,0.0,Depot,1
